Year,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Height_dnp,Weight_dnp,40yd_dnp,Vertical_dnp,Bench_dnp,Broad Jump_dnp,3Cone_dnp,Shuttle_dnp,Pos_C,Pos_CB,Pos_DB,Pos_DE,Pos_DL,Pos_DT,Pos_EDGE,Pos_FB,Pos_ILB,Pos_K,Pos_LB,Pos_LS,Pos_OG,Pos_OL,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_TE,Pos_WR,Height_in_inches
2010,297.0,5.21,26.0,35.0,105.0,7.5,4.73,True,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,245.0,4.64,-1.0,-1.0,-1.0,-1.0,-1.0,True,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74
2010,166.0,4.34,42.0,10.0,116.0,6.54,4.48,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65
2010,264.0,4.77,-1.0,25.0,-1.0,-1.0,-1.0,True,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76
2010,305.0,4.84,33.5,30.0,114.0,7.61,4.71,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,255.0,4.65,34.5,26.0,118.0,6.99,4.15,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74
2010,237.0,4.93,32.5,25.0,115.0,6.86,4.07,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,331.0,5.24,27.5,27.0,92.0,7.85,4.93,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77
2010,196.0,4.4,37.5,13.0,118.0,6.92,4.14,True,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2010,328.0,5.15,27.5,-1.0,101.0,7.93,4.69,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77
2010,312.0,5.37,25.0,-1.0,91.0,8.15,5.01,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77
2010,301.0,5.04,-1.0,-1.0,-1.0,-1.0,-1.0,True,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,214.0,4.51,39.5,24.0,118.0,7.43,4.54,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73
2010,221.0,4.59,36.0,9.0,115.0,6.83,4.14,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74
2010,328.0,5.09,30.0,39.0,100.0,8.12,4.71,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
2010,225.0,4.93,32.0,-1.0,110.0,6.96,4.37,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75
2010,250.0,4.65,36.5,25.0,118.0,7.26,4.53,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
2010,260.0,5.05,33.0,26.0,111.0,7.5,4.74,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2010,211.0,4.58,36.0,-1.0,115.0,6.81,4.23,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74
2010,304.0,5.19,24.0,26.0,96.0,7.81,4.66,True,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,315.0,5.22,26.5,33.0,101.0,7.56,4.51,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75
2010,236.0,4.71,37.5,24.0,120.0,-1.0,-1.0,True,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2010,230.0,4.6,29.5,-1.0,110.0,6.93,4.22,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75
2010,198.0,4.73,31.5,16.0,116.0,6.88,4.33,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72
2010,203.0,4.42,37.0,10.0,126.0,-1.0,-1.0,True,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74
2010,183.0,4.51,38.5,9.0,116.0,6.81,4.27,True,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
2010,281.0,4.86,-1.0,-1.0,-1.0,-1.0,-1.0,True,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,218.0,4.37,36.0,19.0,121.0,7.0,4.33,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72
2010,230.0,4.31,41.0,24.0,125.0,-1.0,-1.0,True,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75
2010,254.0,4.68,-1.0,24.0,-1.0,-1.0,-1.0,True,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2010,172.0,4.53,37.5,20.0,118.0,-1.0,4.06,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69
2010,193.0,4.38,36.0,16.0,126.0,6.7,4.07,True,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
